"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"1","06100000H0","06100000H0","0","Prodfra perenne"
"2","06200000H0","06200000H0","0","Prodfra perenne"
"3","0710100000","0710100000","0","Prodfra perenne"
"4","0729130000","0729130000","0","Prodfra perenne"
"5","0729140010","0729140010","0","Prodfra perenne"
"6","0729140090","0729140090","0","Prodfra perenne"
"7","0729190000","0729190000","0","Prodfra perenne"
"8","0811113300","0811113300","0","Prodfra perenne"
"9","0811113600","0811113600","0","Prodfra perenne"
"10","0811115000","0811115000","0","Prodfra perenne"
"11","0811123300","0811123300","0","Prodfra perenne"
"12","0811123600","0811123600","0","Prodfra perenne"
"13","0811125000","0811125000","0","Prodfra perenne"
"14","0811129000","0811129000","0","Prodfra perenne"
"15","0811203000","0811203000","0","Prodfra perenne"
"16","0811205000","0811205000","0","Prodfra perenne"
"17","0811301010","0811301010","0","Prodfra perenne"
"18","0811301020","0811301020","0","Prodfra perenne"
"19","0811303000","0811303000","0","Prodfra perenne"
"20","0811400000","0811400000","0","Prodfra perenne"
"21","0812115000","0812115000","0","Prodfra perenne"
"22","0812119010","0812119010","0","Prodfra perenne"
"23","0812119020","0812119020","0","Prodfra perenne"
"24","0812119030","0812119030","0","Prodfra perenne"
"25","0812119040","0812119040","0","Prodfra perenne"
"26","0812119050","0812119050","0","Prodfra perenne"
"27","0812119060","0812119060","0","Prodfra perenne"
"28","0812119070","0812119070","0","Prodfra perenne"
"29","0812121010","0812121010","0","Prodfra perenne"
"30","0812121020","0812121020","0","Prodfra perenne"
"31","0812121030","0812121030","0","Prodfra perenne"
"32","0812121040","0812121040","0","Prodfra perenne"
"33","0812121050","0812121050","0","Prodfra perenne"
"34","0812121060","0812121060","0","Prodfra perenne"
"35","0812123010","0812123010","0","Prodfra perenne"
"36","0812123020","0812123020","0","Prodfra perenne"
"37","0812123030","0812123030","0","Prodfra perenne"
"38","0812123040","0812123040","0","Prodfra perenne"
"39","0812123050","0812123050","0","Prodfra perenne"
"40","0812125000","0812125000","0","Prodfra perenne"
"41","0812129010","0812129010","0","Prodfra perenne"
"42","0812129020","0812129020","0","Prodfra perenne"
"43","0812130000","0812130000","0","Prodfra perenne"
"44","0812214000","0812214000","0","Prodfra perenne"
"45","0812216000","0812216000","0","Prodfra perenne"
"46","0812221000","0812221000","0","Prodfra perenne"
"47","0812223000","0812223000","0","Prodfra perenne"
"48","0812225000","0812225000","0","Prodfra perenne"
"49","0891110000","0891110000","0","Prodfra perenne"
"50","0891120010","0891120010","0","Prodfra perenne"
"51","0891120020","0891120020","0","Prodfra perenne"
"52","0891190000","0891190000","0","Prodfra perenne"
"53","08921000H0","08921000H0","0","Prodfra perenne"
"54","0893100010","0893100010","0","Prodfra perenne"
"55","0893100020","0893100020","0","Prodfra perenne"
"56","0893100030","0893100030","0","Prodfra perenne"
"57","0893100040","0893100040","0","Prodfra perenne"
"58","0893100050","0893100050","0","Prodfra perenne"
"59","0899100000","0899100000","0","Prodfra perenne"
"60","0899220000","0899220000","0","Prodfra perenne"
"61","0899290010","0899290010","0","Prodfra perenne"
"62","0899290020","0899290020","0","Prodfra perenne"
"63","0899290030","0899290030","0","Prodfra perenne"
"64","0899290040","0899290040","0","Prodfra perenne"
"65","0899290050","0899290050","0","Prodfra perenne"
"66","0899290060","0899290060","0","Prodfra perenne"
"67","0899290070","0899290070","0","Prodfra perenne"
"68","0899290090","0899290090","0","Prodfra perenne"
"69","09101000H0","09101000H0","0","Prodfra perenne"
"70","09901900H0","09901900H0","0","Prodfra perenne"
"71","1011420000","1011420000","0","Prodfra perenne"
"72","1011440000","1011440000","0","Prodfra perenne"
"73","1011506000","1011506000","0","Prodfra perenne"
"74","1011507000","1011507000","0","Prodfra perenne"
"75","1012500000","1012500000","0","Prodfra perenne"
"76","101313000A","101313000A","0","Prodfra perenne"
"77","101316000A","101316000A","0","Prodfra perenne"
"78","1032170000","1032170000","0","Prodfra perenne"
"79","103925500B","103925500B","0","Prodfra perenne"
"80","104119000A","104119000A","0","Prodfra perenne"
"81","104121000A","104121000A","0","Prodfra perenne"
"82","104123300A","104123300A","0","Prodfra perenne"
"83","104124000A","104124000A","0","Prodfra perenne"
"84","104126000A","104126000A","0","Prodfra perenne"
"85","104129000A","104129000A","0","Prodfra perenne"
"86","104159000B","104159000B","0","Prodfra perenne"
"87","104160300B","104160300B","0","Prodfra perenne"
"88","104160500B","104160500B","0","Prodfra perenne"
"89","104171000B","104171000B","0","Prodfra perenne"
"90","1042105000","1042105000","0","Prodfra perenne"
"91","105154000D","105154000D","0","Prodfra perenne"
"92","105155300D","105155300D","0","Prodfra perenne"
"93","106121000A","106121000A","0","Prodfra perenne"
"94","106123000A","106123000A","0","Prodfra perenne"
"95","106140100A","106140100A","0","Prodfra perenne"
"96","1062117000","1062117000","0","Prodfra perenne"
"97","1062131000","1062131000","0","Prodfra perenne"
"98","1081110000","1081110000","0","Prodfra perenne"
"99","1081123000","1081123000","0","Prodfra perenne"
"100","1081130000","1081130000","0","Prodfra perenne"
"101","1081143000","1081143000","0","Prodfra perenne"
"102","1081145000","1081145000","0","Prodfra perenne"
"103","1081200000","1081200000","0","Prodfra perenne"
"104","1082130000","1082130000","0","Prodfra perenne"
"105","1082231000","1082231000","0","Prodfra perenne"
"106","1082235500","1082235500","0","Prodfra perenne"
"107","1082236500","1082236500","0","Prodfra perenne"
"108","1082237500","1082237500","0","Prodfra perenne"
"109","1082239000","1082239000","0","Prodfra perenne"
"110","1083124000","1083124000","0","Prodfra perenne"
"111","1083140000","1083140000","0","Prodfra perenne"
"112","1084113000","1084113000","0","Prodfra perenne"
"113","1084125500","1084125500","0","Prodfra perenne"
"114","1084127000","1084127000","0","Prodfra perenne"
"115","1084300010","1084300010","0","Prodfra perenne"
"116","1084300020","1084300020","0","Prodfra perenne"
"117","1084300030","1084300030","0","Prodfra perenne"
"118","1085190000","1085190000","0","Prodfra perenne"
"119","1086106010","1086106010","0","Prodfra perenne"
"120","1086107000","1086107000","0","Prodfra perenne"
"121","1089133900","1089133900","0","Prodfra perenne"
"122","1089135000","1089135000","0","Prodfra perenne"
"123","10891500H0","10891500H0","0","Prodfra perenne"
"124","1089191000","1089191000","0","Prodfra perenne"
"125","1089194010","1089194010","0","Prodfra perenne"
"126","1089194020","1089194020","0","Prodfra perenne"
"127","1089194030","1089194030","0","Prodfra perenne"
"128","1089194040","1089194040","0","Prodfra perenne"
"129","1089194050","1089194050","0","Prodfra perenne"
"130","1091101000","1091101000","0","Prodfra perenne"
"131","1091103500","1091103500","0","Prodfra perenne"
"132","1091103900","1091103900","0","Prodfra perenne"
"133","1092103000","1092103000","0","Prodfra perenne"
"134","1092106000","1092106000","0","Prodfra perenne"
