"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"1","05101000H0","05101000H0",0,"Prodfra perenne"
"2","06100000H0","06100000H0",0,"Prodfra perenne"
"3","06200000H0","06200000H0",0,"Prodfra perenne"
"4","0710100000","0710100000",0,"Prodfra perenne"
"5","0729130000","0729130000",0,"Prodfra perenne"
"6","0729140010","0729140010",0,"Prodfra perenne"
"7","0729190000","0729190000",0,"Prodfra perenne"
"8","0811113300","0811113300",0,"Prodfra perenne"
"9","0811113600","0811113600",0,"Prodfra perenne"
"10","0811115000","0811115000",0,"Prodfra perenne"
"11","0811123300","0811123300",0,"Prodfra perenne"
"12","0811123600","0811123600",0,"Prodfra perenne"
"13","0811125000","0811125000",0,"Prodfra perenne"
"14","0811129000","0811129000",0,"Prodfra perenne"
"15","0811203000","0811203000",0,"Prodfra perenne"
"16","0811205000","0811205000",0,"Prodfra perenne"
"17","0811301010","0811301010",0,"Prodfra perenne"
"18","0811301020","0811301020",0,"Prodfra perenne"
"19","0811303000","0811303000",0,"Prodfra perenne"
"20","0811400000","0811400000",0,"Prodfra perenne"
"21","0812115000","0812115000",0,"Prodfra perenne"
"22","0812119010","0812119010",0,"Prodfra perenne"
"23","0812119020","0812119020",0,"Prodfra perenne"
"24","0812119030","0812119030",0,"Prodfra perenne"
"25","0812119040","0812119040",0,"Prodfra perenne"
"26","0812119050","0812119050",0,"Prodfra perenne"
"27","0812119060","0812119060",0,"Prodfra perenne"
"28","0812119070","0812119070",0,"Prodfra perenne"
"29","0812121010","0812121010",0,"Prodfra perenne"
"30","0812121020","0812121020",0,"Prodfra perenne"
"31","0812121030","0812121030",0,"Prodfra perenne"
"32","0812121040","0812121040",0,"Prodfra perenne"
"33","0812121050","0812121050",0,"Prodfra perenne"
"34","0812121060","0812121060",0,"Prodfra perenne"
"35","0812123010","0812123010",0,"Prodfra perenne"
"36","0812123020","0812123020",0,"Prodfra perenne"
"37","0812123030","0812123030",0,"Prodfra perenne"
"38","0812123040","0812123040",0,"Prodfra perenne"
"39","0812123050","0812123050",0,"Prodfra perenne"
"40","0812125000","0812125000",0,"Prodfra perenne"
"41","0812129010","0812129010",0,"Prodfra perenne"
"42","0812129020","0812129020",0,"Prodfra perenne"
"43","0812130000","0812130000",0,"Prodfra perenne"
"44","0812214000","0812214000",0,"Prodfra perenne"
"45","0812216000","0812216000",0,"Prodfra perenne"
"46","0812221000","0812221000",0,"Prodfra perenne"
"47","0812223000","0812223000",0,"Prodfra perenne"
"48","0812225000","0812225000",0,"Prodfra perenne"
"49","0891110000","0891110000",0,"Prodfra perenne"
"50","0891120010","0891120010",0,"Prodfra perenne"
"51","0891120020","0891120020",0,"Prodfra perenne"
"52","0891190000","0891190000",0,"Prodfra perenne"
"53","08921000H0","08921000H0",0,"Prodfra perenne"
"54","0893100010","0893100010",0,"Prodfra perenne"
"55","0893100020","0893100020",0,"Prodfra perenne"
"56","0893100030","0893100030",0,"Prodfra perenne"
"57","0893100040","0893100040",0,"Prodfra perenne"
"58","0893100050","0893100050",0,"Prodfra perenne"
"59","0899100000","0899100000",0,"Prodfra perenne"
"60","0899220000","0899220000",0,"Prodfra perenne"
"61","0899290010","0899290010",0,"Prodfra perenne"
"62","0899290020","0899290020",0,"Prodfra perenne"
"63","0899290030","0899290030",0,"Prodfra perenne"
"64","0899290040","0899290040",0,"Prodfra perenne"
